RECORD,DATE,julian,julian day,SITE,F=Full/P=Partial,SECTOR,ARRIVAL TIME,IPSWICH,CONTENTAL ,NOTES,TIDES (PM HIGH),AVEG WIND DIR,AVEG WIND SPD,HIGH WIND SPD,WIND (HIGH GUST),TEMP HIGH,TEMP LOW,AVERAGE SKY COVER,PERCIPITATION,PERCIPTATION TYPE
SMJK040,01/14/2018,18014,14,SHP,P,FRONT OF PRIMARY DUNES,EARLY MORNING,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK042,01/16/2018,18016,16,SHP,P,REAR OF GRASSLAND/MARSH,LATE MORNING,Y,N,SEVERAL SIGHTINGS,,,,,,,,,,
SMJK043,01/18/2018,18018,18,SHP,P,FRONT OF PRIMARY DUNES,EARLY AFTERNOON,Y,N,1 IPSWICH SIGHTING,,,,,,,,,,
SMJK046,01/21/2018,18021,21,SHP,P,FRONT OF PRIMARY DUNES AND REAR MARSH,EARLY MORNING,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK048,01/08/2018,18008,8,SHP,P,FRONT OF PRIMARY DUNES,MID MORNING,Y,N,SIGNIFICANT NUMBER OF SIGHTINGS,,,,,,,,,,
SMJK049,01/09/2018,18009,9,SHP,P,FRONT OF PRIMARY DUNES,EARLY MORNING,Y,Y,"SIGNIFICANT NUMBER OF SIGHTINGS SIMILAR TO PREVIOUS DAY, 1/8/18",,,,,,,,,,
SMJK050,01/25/2018,18025,25,SHP,F,FRONT AND REAR SECTORS,MID MORNING,Y,N,NONE SEEN ON FRONT ALL SEEN ON BACK EDGE AND ON MARSH,,,,,,,,,,
SMJK052,01/27/2018,18027,27,SHP,F,FRONT AND REAR SECTORS,MID MORNING,Y,Y,"FEW SIGHTINGS, ALL ON BACK SIDE BOARDERING THE MARSH.  NONE SEEN ON BEACH SIDE.",,,,,,,,,,
SMJK053,01/31/2018,18031,31,SHP,F,FRONT AND REAR SECTORS,MID AFTERNOON,Y,N,"FEW SIGHTINGS.  3 ON FRONT DUNES, REST ON BACK EDGE OR MARSH AREAS.",,,,,,,,,,
SMJK054,02/03/2018,18034,34,SHP,F,"FRONT, BACK AND INTERIOR TRANSECT",LATE MORNING,Y,N,"MULTIPLE SIGHTINGS.  MINIMAL IN DUNE GRASS BELT, SEVERAL IN SPARTINS, REST IN THE REAR MIXED OR PANICUM BELTS",,,,,,,,,,
SMJK055,02/04/2018,18035,35,SHP,F,"FRONT, BACK AND INTERIOR TRANSECT",MID MORNING,Y,Y,"MULTIPLE SIGHTINGS, ALL ON BACK EDGE, NONE SEEN ON FRONT DUNE GRASS BELTS.",,,,,,,,,,
SMJK057,02/08/2018,18039,39,SHP,F,"FRONT, BACK AND INTERIOR TRANSECT",LATE MORNING,Y,N,FEW SIGHTINGS,,,,,,,,,,
SMJK059,02/10/2018,18041,41,SHP,F,FRONT AND REAR SECTORS,LATE MORNING,Y,N,4 SIGHTINGS,,,,,,,,,,
SMJK060,02/13/2018,18044,44,SHP,F,"FRONT, BACK AND INTERIOR TRANSECT",LATE MORNING,Y,N,5 SIGHTINGS,,,,,,,,,,
SMJK062,02/15/2018,18046,46,SHP,F,"FRONT BACK INTERIOR TRANSECT, ADD MIDDLE MARSH SECTOR",EARLY AFTERNOON,Y,N,"5 SIGHTINGS, 4 ON MARSH LMB.  BIRDS ABSENT ON FRONT AND INTERIOR GRASSLANDS.   CONDUCTED SURVEY OF THE OUTER MARSHES THAT INCLUDED THE ENTIRE MARSH AREA ON THE GRASSLAND SIDE OF THE CREEK THAT DRAINS THE LAKE.  PREVIOUS ONLY DAILY SAMPLE TRANSECTS WERE CONDUCTED IN THIS AREA.   RESULTED IN ONE SIGHTING.",,,,,,,,,,
SMJK064,02/18/2018,18049,49,SHP,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",LATE MORNING,Y,N,"4 SIGHTINGS ALL ON MARSH.  TRANSECTS THROUGH GRASSLANDS AND MARSH OUT TO THE CREEK BOUNDARY OF STUDY SITE.    MANY PEOPLE COMING AND GOING AT SITE INLCUDING CLAMMERS IN THE CREEK THAT BORDERS THE MARSH AREAS OF SITE.   IT IS UNDETERMINED AS TO THE INFLUENCE OF THE PEOPLE PRESENCE BUT PEOPLE WERE SEEN WALKING IN THE AND AROUND THE REAR GRASSLAND AREAS, ALONG THE FRONT AND SOME INSTANCES OF BREACHING ON THE DUNES.   SIGHTING NUMBER IS CONSISTENT WITH THE RECENT LOW NUMBERS SEEN AT SITE.  A FEW FIDDLER CRABS NOTED.",,,,,,,,,,
SMJK066,02/21/2018,18052,52,SHP,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",LATE MORNING,Y,N,"15 SIGHTINGS, 4 ON REAR END MIXED GRASS AREAS, 11 ON THE LMB.   FIRST TIME FOR RECORDS OF MULTIPLE BIRDS MOVING TOGETHER ON MARSH.  A PAIR AND A TRIO SEEN TOGETHER.     AS SEEMS TO BE THE CURRENT TREND, NO SPARROWS ARE BEING SEEN IN THE DUNE GRASS BELTS AND NOT SEEN FORAGING ON THE DUNE GRASS SEED THOUGH SIGNIFICANT DUNE GRASS SEED REMAINS ON THE DUNE GRASS SEED HEADS.  SUSPECT DUNE GRASS SEED MAY BECOME LESS NUTRITIONALLY VIABLE OVER TIME BUT BIRDS MAY BE FINDING SOME OTHER TYPE OF EMERGED FORAGE OF GREATER VALUE IN OTHER AREAS OF THE MARINE GRASSLANDS AS THEY SEEM TO BE MORE PREVELANT IN THE LOW MARSH BELT NOW THAN PREVIOUSLY NOTED. MANY FIDDLER CRABS OUT ON THE MARSH,",,,,,,,,,,
SMJK069,02/25/2018,18056,56,SHP,F,"FRONT, REAR AND MARSH TRANSECTS",EARLY AFTERNOON,Y,N,"2 SIGHTINGS, BOTH ON MARSH.  LIGHT RAIN AND SOME VERY WINDY AND GUSTY FRONTS PASSING OVER.  SNOWY OWL PERCHED ON OLD DOCK ON THE REAR MARSH.  THOUGH NOT RIGHT ON TOP OF THE MARSH AREA THAT HAS HAD THE MOST CONSISTENT SIGHTINGS, IT WAS IN CLOSE ENOUGH PROXIMITY TO HAVE INFLUENCE ON PRESENCE AND ACTIVITY OF THE SPARROWS ON THE MARSH.  WHEHTER OWL HAD INFLUENCE IS UNKNOWN AND MENTIONED AS A POSSIBLE INFLUENCE ON PRESENCE.    OWL SEEMS EASY GOING, LET OBSERVER PASS WITHIN 30 METERS AS OBSERVER WALKED THE REAR EDGE.   NOTE THAT OBSERVER ONLY CANVASSED THE FRONT EDGE, THE EASTERN INTERIOR HALF, THE REAR EDGE AND ONLY THE MOST SOUTHERN PARTS OF THE MARSH AREA SO AS NOT TO DISPLACE THE OWL.   THE NORMAL TRANSECTS FROM THE FRONT BEACH EDGE TO THE REAR MARSH CREEK ON EAST WEST AND WEST EAST TRANSECTS ACROSS THE ENTIRE SITE WERE SUSPENDED SO AS NOT TO HAVE OWL MOVE AS A MOVING SNOWY OWL MAY CAUSE MORE DISPLACEMENT OF ANY SPARROWS ON SITE AND IS BEST TO HAVE OWL STAY PUT SO WHAT SPARROWS MAY BE THERE STAY TUCKED AND NOT EXPOSED BY OBSERVER PRESENCE.  tHIS OWL SIGHTING IS THE 17TH SIGHTING AT SHP.  OWLS HAVE BEEN PRESENT ALL WINTER BUT USUALLY AT THE FARTHEST SOUTHERN PART OF POINT WELL OUTSIDE STUDY AREA.  THIS OWL WAS PARKED WELL INSIDE THE STUDY AREA.",,,,,,,,,,
SMJK071,03/15/2018,18074,74,SHP,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",LATE MORNING,Y,N,SIGHTINGS SEEMED TO LEVEL OUT AT THIS SITE OVER LAST FEW VISITS.  HIGHER MAJORITY STILL SEEN ON THE REAR MARSH AREAS.,,,,,,,,,,
SMJK072,03/13/2018,18072,72,SHP,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",MID AFTERNOON,Y,N,"A FEW, BUT NOT SIGNIFICANT, INCREASE ON THE DUNE GRASS BELT.  MOST SIGHTINGS ON THE REAR MARSH AREAS AND MIXED GRASS AREAS.",,,,,,,,,,
SMJK073,03/12/2018,18071,71,NUM,F,OUTER EAST SIDE,LATE MORNING,Y,N,"4 SIGHTINGS, NONE ON THE SOUTHERN END OF SITE.   ",,,,,,,,,,
SMJK074,03/11/2018,18070,70,SHP,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",MID DAY,Y,N,"MULTIPLE SIGHTINGS, SIGHTINGS IN MOST THE VEG BELTS, PREDOMINANT IN THE LOW MARSH BELT.  NOTE THAT OBSERVER SAT AT THE POND FOR A BIT, SITE TIME IS ABOVE AVERAGE FOR SURVEY TOUR DUE TO SITTING AT POND AND WATCHING FOR FLIGHT OR OTHER ACTIVITY ON THE REAR DUNE EDGE AND PANICUM BOWL AREA AND ANY SIGNS OF USE OF SMALL POND",,,,,,,,,,
SMJK076,03/09/2018,18068,68,SHP,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",EARLY AFTERNOON,Y,N,"MULTIPLE SIGHTINGS, MORE IN GRASSLANDS THEN RECENT VISITS, STILL MANY ON THE REAR LOW MARSH BELT.",,,,,,,,,,
SMJK077,03/02/2018,18061,61,SHP,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",LATE MORNING,Y,N,"LESS THAN NORMAL LEVEL OF SIGHTINGS.  RAIN IS SUSPECTED TO NORMAL LEVELS OF DETECTABILITY AS OBSERVER WEARS EYEGLASSES AND RAIN WAS DIFFICULT TO KEEP GLASSES CLEAR.   ALSO, OBSERVER TOOK TIME ON SITE TO COLLECT HABITAT PHOTOS AND VIDEOS FOR RECORD IN SUPPORT OF STUDY.",,,,,,,,,,
SMJK078,02/27/2018,18058,58,SHP,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",EARLY AFTERNOON,Y,N,"7 SIGHTINGS, ABOUT EQUALLY SPREAD ACROSS THE VARIOUS HABITAT BELTS.",,,,,,,,,,
