RECORD,DATE,julian,julian day,SITE,In Study Area    ,Full/Partial,SECTOR,ARRIVAL TIME,IPSWICH,CONTENTAL ,NOTES,TIDES (PM HIGH),AVEG WIND DIR,AVEG WIND SPD,HIGH WIND SPD,WIND (HIGH GUST),TEMP HIGH,TEMP LOW,AVERAGE SKY COVER,PERCIPITATION,PERCIPTATION TYPE
SMJK037,12/30/17,17364,364,SHP,Yes,P,FRONT OF PRIMARY DUNES,EARLY AFTERNOON,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK038,1/1/18,18001,001,SHP,Yes,P,FRONT OF PRIMARY DUNES,LATE MORNING,Y,N,FEW SIGHTING,,,,,,,,,,
SMJK048,1/8/18,18008,008,SHP,Yes,P,FRONT OF PRIMARY DUNES,MID MORNING,Y,N,SIGNIFICANT NUMBER OF SIGHTINGS,,,,,,,,,,
SMJK049,1/9/18,18009,009,SHP,Yes,P,FRONT OF PRIMARY DUNES,EARLY MORNING,Y,Y,"SIGNIFICANT NUMBER OF SIGHTINGS SIMILAR TO PREVIOUS DAY, 1/8/18",,,,,,,,,,
SMJK040,1/14/18,18014,014,SHP,Yes,P,FRONT OF PRIMARY DUNES,EARLY MORNING,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK043,1/18/18,18018,018,SHP,Yes,P,FRONT OF PRIMARY DUNES,EARLY AFTERNOON,Y,N,1 IPSWICH SIGHTING,,,,,,,,,,
SMJK039,1/13/18,18013,013,SHP,Yes,P,FRONT OF PRIMARY DUNES AND REAR MARSH,MID MORNING,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK046,1/21/18,18021,021,SHP,Yes,P,FRONT OF PRIMARY DUNES AND REAR MARSH,EARLY MORNING,Y,N,MULTIPLE SIGHTINGS,,,,,,,,,,
SMJK054,2/3/18,18034,034,SHP,Yes,F,"FRONT, BACK AND INTERIOR TRANSECT",LATE MORNING,Y,N,"MULTIPLE SIGHTINGS.  MINIMAL IN DUNE GRASS BELT, SEVERAL IN SPARTINS, REST IN THE REAR MIXED OR PANICUM BELTS",,,,,,,,,,
SMJK055,2/4/18,18035,035,SHP,Yes,F,"FRONT, BACK AND INTERIOR TRANSECT",MID MORNING,Y,Y,"MULTIPLE SIGHTINGS, ALL ON BACK EDGE, NONE SEEN ON FRONT DUNE GRASS BELTS.",,,,,,,,,,
SMJK057,2/8/18,18039,039,SHP,Yes,F,"FRONT, BACK AND INTERIOR TRANSECT",LATE MORNING,Y,N,FEW SIGHTINGS,,,,,,,,,,
SMJK060,2/13/18,18044,044,SHP,Yes,F,"FRONT, BACK AND INTERIOR TRANSECT",LATE MORNING,Y,N,5 SIGHTINGS,,,,,,,,,,
SMJK064,2/18/18,18049,049,SHP,Yes,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",LATE MORNING,Y,N,"4 SIGHTINGS ALL ON MARSH.  TRANSECTS THROUGH GRASSLANDS AND MARSH OUT TO THE CREEK BOUNDARY OF STUDY SITE.    MANY PEOPLE COMING AND GOING AT SITE INLCUDING CLAMMERS IN THE CREEK THAT BORDERS THE MARSH AREAS OF SITE.   IT IS UNDETERMINED AS TO THE INFLUENCE OF THE PEOPLE PRESENCE BUT PEOPLE WERE SEEN WALKING IN THE AND AROUND THE REAR GRASSLAND AREAS, ALONG THE FRONT AND SOME INSTANCES OF BREACHING ON THE DUNES.   SIGHTING NUMBER IS CONSISTENT WITH THE RECENT LOW NUMBERS SEEN AT SITE.  A FEW FIDDLER CRABS NOTED.",,,,,,,,,,
SMJK066,2/21/18,18052,052,SHP,Yes,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",LATE MORNING,Y,N,"15 SIGHTINGS, 4 ON REAR END MIXED GRASS AREAS, 11 ON THE LMB.   FIRST TIME FOR RECORDS OF MULTIPLE BIRDS MOVING TOGETHER ON MARSH.  A PAIR AND A TRIO SEEN TOGETHER.     AS SEEMS TO BE THE CURRENT TREND, NO SPARROWS ARE BEING SEEN IN THE DUNE GRASS BELTS AND NOT SEEN FORAGING ON THE DUNE GRASS SEED THOUGH SIGNIFICANT DUNE GRASS SEED REMAINS ON THE DUNE GRASS SEED HEADS.  SUSPECT DUNE GRASS SEED MAY BECOME LESS NUTRITIONALLY VIABLE OVER TIME BUT BIRDS MAY BE FINDING SOME OTHER TYPE OF EMERGED FORAGE OF GREATER VALUE IN OTHER AREAS OF THE MARINE GRASSLANDS AS THEY SEEM TO BE MORE PREVELANT IN THE LOW MARSH BELT NOW THAN PREVIOUSLY NOTED. MANY FIDDLER CRABS OUT ON THE MARSH,",,,,,,,,,,
SMJK078,2/27/18,18058,058,SHP,Yes,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",EARLY AFTERNOON,Y,N,"7 SIGHTINGS, ABOUT EQUALLY SPREAD ACROSS THE VARIOUS HABITAT BELTS.",,,,,,,,,,
SMJK077,3/2/18,18061,061,SHP,Yes,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",LATE MORNING,Y,N,"LESS THAN NORMAL LEVEL OF SIGHTINGS.  RAIN IS SUSPECTED TO NORMAL LEVELS OF DETECTABILITY AS OBSERVER WEARS EYEGLASSES AND RAIN WAS DIFFICULT TO KEEP GLASSES CLEAR.   ALSO, OBSERVER TOOK TIME ON SITE TO COLLECT HABITAT PHOTOS AND VIDEOS FOR RECORD IN SUPPORT OF STUDY.",,,,,,,,,,
SMJK076,3/9/18,18068,068,SHP,Yes,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",EARLY AFTERNOON,Y,N,"MULTIPLE SIGHTINGS, MORE IN GRASSLANDS THEN RECENT VISITS, STILL MANY ON THE REAR LOW MARSH BELT.",,,,,,,,,,
SMJK074,3/11/18,18070,070,SHP,Yes,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",MID DAY,Y,N,"MULTIPLE SIGHTINGS, SIGHTINGS IN MOST THE VEG BELTS, PREDOMINANT IN THE LOW MARSH BELT.  NOTE THAT OBSERVER SAT AT THE POND FOR A BIT, SITE TIME IS ABOVE AVERAGE FOR SURVEY TOUR DUE TO SITTING AT POND AND WATCHING FOR FLIGHT OR OTHER ACTIVITY ON THE REAR DUNE EDGE AND PANICUM BOWL AREA AND ANY SIGNS OF USE OF SMALL POND",,,,,,,,,,
SMJK072,3/13/18,18072,072,SHP,Yes,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",MID AFTERNOON,Y,N,"A FEW, BUT NOT SIGNIFICANT, INCREASE ON THE DUNE GRASS BELT.  MOST SIGHTINGS ON THE REAR MARSH AREAS AND MIXED GRASS AREAS.",,,,,,,,,,
SMJK071,3/15/18,18074,074,SHP,Yes,F,"FRONT, INTERIOR TRANSECTS AND MARSH TRANSECTS",LATE MORNING,Y,N,SIGHTINGS SEEMED TO LEVEL OUT AT THIS SITE OVER LAST FEW VISITS.  HIGHER MAJORITY STILL SEEN ON THE REAR MARSH AREAS.,,,,,,,,,,
SMJK069,2/25/18,18056,056,SHP,Yes,F,"FRONT, REAR AND MARSH TRANSECTS",EARLY AFTERNOON,Y,N,"2 SIGHTINGS, BOTH ON MARSH.  LIGHT RAIN AND SOME VERY WINDY AND GUSTY FRONTS PASSING OVER.  SNOWY OWL PERCHED ON OLD DOCK ON THE REAR MARSH.  THOUGH NOT RIGHT ON TOP OF THE MARSH AREA THAT HAS HAD THE MOST CONSISTENT SIGHTINGS, IT WAS IN CLOSE ENOUGH PROXIMITY TO HAVE INFLUENCE ON PRESENCE AND ACTIVITY OF THE SPARROWS ON THE MARSH.  WHEHTER OWL HAD INFLUENCE IS UNKNOWN AND MENTIONED AS A POSSIBLE INFLUENCE ON PRESENCE.    OWL SEEMS EASY GOING, LET OBSERVER PASS WITHIN 30 METERS AS OBSERVER WALKED THE REAR EDGE.   NOTE THAT OBSERVER ONLY CANVASSED THE FRONT EDGE, THE EASTERN INTERIOR HALF, THE REAR EDGE AND ONLY THE MOST SOUTHERN PARTS OF THE MARSH AREA SO AS NOT TO DISPLACE THE OWL.   THE NORMAL TRANSECTS FROM THE FRONT BEACH EDGE TO THE REAR MARSH CREEK ON EAST WEST AND WEST EAST TRANSECTS ACROSS THE ENTIRE SITE WERE SUSPENDED SO AS NOT TO HAVE OWL MOVE AS A MOVING SNOWY OWL MAY CAUSE MORE DISPLACEMENT OF ANY SPARROWS ON SITE AND IS BEST TO HAVE OWL STAY PUT SO WHAT SPARROWS MAY BE THERE STAY TUCKED AND NOT EXPOSED BY OBSERVER PRESENCE.  tHIS OWL SIGHTING IS THE 17TH SIGHTING AT SHP.  OWLS HAVE BEEN PRESENT ALL WINTER BUT USUALLY AT THE FARTHEST SOUTHERN PART OF POINT WELL OUTSIDE STUDY AREA.  THIS OWL WAS PARKED WELL INSIDE THE STUDY AREA.",,,,,,,,,,
SMJK019,12/18/17,17352,352,SHP,No,NA,MIDDLE MARSH,MID AFTERNOON,N,N,NO SPARROW SIGHTINGS.  WALKED MARSH AREAS DIRECTLY BEHIND GRASS BOWL AREA,,,,,,,,,,
SMJK007,12/1/17,17335,335,SHP,No,NA,N MARSH SECTOR,LATE MORNING,N,N,NO SPARROWS SIGHTED,,,,,,,,,,
SMJK073,3/12/18,18071,071,SHP,Yes,F,OUTER EAST SIDE,LATE MORNING,Y,N,"4 SIGHTINGS, NONE ON THE SOUTHERN END OF SITE.   ",,,,,,,,,,
SMJK042,1/16/18,18016,016,SHP,Yes,P,REAR OF GRASSLAND/MARSH,LATE MORNING,Y,N,SEVERAL SIGHTINGS,,,,,,,,,,
SMJK026,12/17/17,17351,351,SHP,Yes,P,REAR SOUTHERN MARSH,EARLY AFTERNOON,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
SMJK027,12/17/17,17351,351,SHP,Yes,P,SMALL POND,MID AFTERNOON,N,N,NO SPARROW SIGHTINGS,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,KEY,,,,,,,,,,,,,,,,,,,,
,,**,,CMBO,,,,,,,,,,,,,,,,,
